Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Total_Activity_Hours,Study_Sleep_Ratio
0.2875,0.1583333333333333,0.3625,0.1166666666666666,0.075,0.7475,1,0.6374999999999998,0.793103448275862
0.2208333333333333,0.1458333333333333,0.3333333333333333,0.175,0.125,0.6875,0,0.6666666666666665,0.6625
0.2125,0.1625,0.3833333333333333,0.0499999999999999,0.1916666666666666,0.6675,0,0.6166666666666666,0.5543478260869565
0.2708333333333333,0.0875,0.3,0.0708333333333333,0.2708333333333333,0.72,1,0.7,0.9027777777777778
0.3374999999999999,0.0249999999999999,0.2708333333333333,0.0916666666666666,0.2749999999999999,0.8775,2,0.7291666666666663,1.246153846153846
0.25,0.0875,0.3333333333333333,0.0124999999999999,0.3166666666666666,0.7125,1,0.6666666666666665,0.75
0.3333333333333333,0.0291666666666666,0.2208333333333333,0.2375,0.1791666666666666,0.77,2,0.7791666666666666,1.509433962264151
0.35,0.075,0.2333333333333333,0.125,0.2166666666666666,0.8,2,0.7666666666666666,1.5
0.2166666666666666,0.15,0.2625,0.1666666666666666,0.2041666666666667,0.705,0,0.7374999999999999,0.825396825396825
0.3208333333333333,0.0291666666666666,0.4083333333333334,0.1875,0.0541666666666666,0.69,1,0.5916666666666666,0.7857142857142856
0.4041666666666666,0.15,0.3333333333333333,0.1041666666666666,0.0083333333333333,0.8575,2,0.6666666666666665,1.2125
0.2875,0.0458333333333333,0.3791666666666666,0.0875,0.1999999999999999,0.7425,1,0.6208333333333332,0.7582417582417583
0.2666666666666666,0.0916666666666666,0.2375,0.1999999999999999,0.2041666666666667,0.705,2,0.7624999999999997,1.1228070175438594
0.2083333333333333,0.1374999999999999,0.3541666666666667,0.1833333333333333,0.1166666666666666,0.7175,0,0.645833333333333,0.5882352941176469
0.3708333333333333,0.0124999999999999,0.2833333333333333,0.0291666666666666,0.3041666666666666,0.85,2,0.7166666666666663,1.3088235294117645
0.2791666666666667,0.0124999999999999,0.2749999999999999,0.0833333333333333,0.35,0.8,1,0.7249999999999999,1.0151515151515156
0.3583333333333333,0.1083333333333333,0.3916666666666666,0.0666666666666666,0.075,0.84,2,0.6083333333333332,0.9148936170212766
