Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
1,0.28750000000000003,0.15833333333333333,0.3625,0.11666666666666665,0.075,0.7475,1
2,0.22083333333333333,0.14583333333333334,0.3333333333333333,0.17500000000000002,0.125,0.6875,0
3,0.2125,0.1625,0.3833333333333333,0.049999999999999996,0.19166666666666665,0.6675,0
4,0.2708333333333333,0.08750000000000001,0.3,0.07083333333333333,0.2708333333333333,0.72,1
5,0.33749999999999997,0.024999999999999998,0.2708333333333333,0.09166666666666667,0.27499999999999997,0.8775,2
6,0.25,0.08750000000000001,0.3333333333333333,0.012499999999999999,0.31666666666666665,0.7125,1
7,0.3333333333333333,0.029166666666666664,0.22083333333333333,0.23750000000000002,0.17916666666666667,0.77,2
8,0.35000000000000003,0.075,0.2333333333333333,0.125,0.21666666666666667,0.8,2
9,0.21666666666666667,0.15,0.2625,0.16666666666666666,0.2041666666666667,0.705,0
10,0.32083333333333336,0.029166666666666664,0.4083333333333334,0.1875,0.05416666666666667,0.69,1
11,0.4041666666666666,0.15,0.3333333333333333,0.10416666666666667,0.008333333333333333,0.8575,2
12,0.28750000000000003,0.04583333333333334,0.37916666666666665,0.08750000000000001,0.19999999999999998,0.7425,1
13,0.26666666666666666,0.09166666666666667,0.23750000000000002,0.19999999999999998,0.2041666666666667,0.705,2
14,0.20833333333333334,0.13749999999999998,0.3541666666666667,0.18333333333333335,0.11666666666666665,0.7175,0
15,0.37083333333333335,0.012499999999999999,0.2833333333333333,0.029166666666666664,0.30416666666666664,0.85,2
16,0.2791666666666667,0.012499999999999999,0.27499999999999997,0.08333333333333333,0.35000000000000003,0.8,1
17,0.35833333333333334,0.10833333333333334,0.39166666666666666,0.06666666666666667,0.075,0.84,2
18,0.3666666666666667,0.09166666666666667,0.37083333333333335,0.08333333333333333,0.08750000000000001,0.7975,2
19,0.31666666666666665,0.07083333333333333,0.2125,0.024999999999999998,0.375,0.79,2
20,0.27499999999999997,0.08333333333333333,0.3958333333333333,0.0625,0.18333333333333335,0.7325,1
21,0.29583333333333334,0.125,0.25416666666666665,0.020833333333333332,0.30416666666666664,0.725,1
22,0.39999999999999997,0.13333333333333333,0.3416666666666666,0.10833333333333334,0.016666666666666666,0.835,2
23,0.375,0.029166666666666664,0.3958333333333333,0.10833333333333334,0.09166666666666667,0.8025,2
24,0.25416666666666665,0.07083333333333333,0.37916666666666665,0.21666666666666667,0.07916666666666666,0.7125,1
25,0.20833333333333334,0.08333333333333333,0.29583333333333334,0.05416666666666667,0.35833333333333334,0.67,0
26,0.4041666666666666,0.05416666666666667,0.31666666666666665,0.15833333333333333,0.06666666666666667,0.8225,2
27,0.2833333333333333,0.1625,0.4083333333333334,0.0375,0.10833333333333334,0.66,1
28,0.26666666666666666,0.004166666666666667,0.3333333333333333,0.125,0.2708333333333333,0.7375,1
29,0.22083333333333333,0.04583333333333334,0.3958333333333333,0.05833333333333333,0.2791666666666667,0.6975,0
30,0.41250000000000003,0.041666666666666664,0.35000000000000003,0.15,0.04583333333333334,0.8125,2
31,0.25833333333333336,0.12083333333333333,0.2833333333333333,0.15833333333333333,0.17916666666666667,0.7625,1
32,0.22916666666666666,0.13749999999999998,0.27499999999999997,0.04583333333333334,0.3125,0.815,0
33,0.21666666666666667,0.09999999999999999,0.35000000000000003,0.004166666666666667,0.32916666666666666,0.6175,0
34,0.3416666666666666,0.029166666666666664,0.3541666666666667,0.09583333333333333,0.17916666666666667,0.81,2
35,0.4041666666666666,0.024999999999999998,0.2791666666666667,0.029166666666666664,0.2625,0.905,2
36,0.37916666666666665,0.09166666666666667,0.31666666666666665,0.049999999999999996,0.1625,0.78,2
37,0.22916666666666666,0.15,0.3958333333333333,0.14166666666666666,0.08333333333333333,0.645,0
38,0.35833333333333334,0.15,0.39166666666666666,0.07916666666666666,0.020833333333333332,0.7575,2
39,0.3416666666666666,0.012499999999999999,0.24166666666666667,0.225,0.17916666666666667,0.8225,2
40,0.20833333333333334,0.024999999999999998,0.32083333333333336,0.17500000000000002,0.2708333333333333,0.6525,0
41,0.3458333333333334,0.0375,0.35833333333333334,0.05833333333333333,0.19999999999999998,0.87,2
42,0.3416666666666666,0.14166666666666666,0.3458333333333334,0.09583333333333333,0.075,0.7675,2
43,0.22916666666666666,0.0625,0.2625,0.0625,0.3833333333333333,0.7025,0
44,0.3958333333333333,0.10416666666666667,0.375,0.0625,0.0625,0.8725,2
45,0.32916666666666666,0.08333333333333333,0.25,0.17916666666666667,0.15833333333333333,0.7425,1
46,0.4041666666666666,0.15833333333333333,0.39999999999999997,0.012499999999999999,0.024999999999999998,0.8875,2
47,0.2125,0.15416666666666667,0.29583333333333334,0.24166666666666667,0.09583333333333333,0.65,0
48,0.3875,0.05416666666666667,0.24166666666666667,0.13749999999999998,0.17916666666666667,0.7725,2
49,0.4041666666666666,0.11666666666666665,0.32916666666666666,0.012499999999999999,0.13749999999999998,0.8675,2
50,0.39166666666666666,0.125,0.3541666666666667,0.09166666666666667,0.0375,0.795,2
51,0.2833333333333333,0.049999999999999996,0.375,0.2041666666666667,0.08750000000000001,0.78,1
52,0.375,0.10833333333333334,0.3541666666666667,0.12916666666666668,0.03333333333333333,1.0,2
53,0.3958333333333333,0.05833333333333333,0.28750000000000003,0.024999999999999998,0.2333333333333333,0.8325,2
54,0.30416666666666664,0.09166666666666667,0.26666666666666666,0.14583333333333334,0.19166666666666665,0.7775,1
55,0.21666666666666667,0.004166666666666667,0.37916666666666665,0.09166666666666667,0.30833333333333335,0.6975,0
56,0.3666666666666667,0.0375,0.33749999999999997,0.020833333333333332,0.23750000000000002,0.775,2
57,0.22083333333333333,0.08750000000000001,0.32083333333333336,0.15833333333333333,0.2125,0.5975,0
58,0.375,0.04583333333333334,0.3,0.020833333333333332,0.25833333333333336,0.8475,2
59,0.2125,0.1625,0.3833333333333333,0.16666666666666666,0.075,0.63,0
60,0.24166666666666667,0.041666666666666664,0.32083333333333336,0.17916666666666667,0.21666666666666667,0.7,0
61,0.3458333333333334,0.04583333333333334,0.4083333333333334,0.14583333333333334,0.05416666666666667,0.9175,2
62,0.29583333333333334,0.041666666666666664,0.2833333333333333,0.1875,0.19166666666666665,0.8175,1
63,0.2125,0.020833333333333332,0.21666666666666667,0.008333333333333333,0.5416666666666666,0.7125,2
64,0.30833333333333335,0.016666666666666666,0.3125,0.11666666666666665,0.24583333333333335,0.815,1
65,0.24583333333333335,0.07083333333333333,0.2916666666666667,0.15416666666666667,0.23750000000000002,0.7,0
66,0.28750000000000003,0.10416666666666667,0.3125,0.2125,0.08333333333333333,0.765,1
